netPnL,closeTime,openTime,tradeId,ticker,direction,setup,rMultiple,quantity,riskAmount,mae_r,mfe_r,mae_points,mfe_points,highestPrice,lowestPrice,plannedRR,entryPrice,exitPrice,stopLoss,takeProfit,commission_at_entry,spread_pips_at_entry,pip_value_at_entry,closeType,durationMinutes,status
60.89,2025-11-24T15:11:00.000Z,2025-11-24T10:41:00.000Z,22089,GBPUSD,SHORT,London Open Liquidity Scalp,1.2142,0.27,50.15,-1.9464,0.0,1.2457,1.2421,1.2457,1.23747,2.5,1.2421,1.23747,1.24395,1.23747,3.5,1.2,10.0,TP,270,closed
4.87,2024-02-17T15:21:00.000Z,2024-02-17T10:34:00.000Z,22090,NQ,LONG,London Open Liquidity Scalp,0.0921,0.66,52.9,-0.7996,1.1067,18125.20523,18132.90121,18132.90121,18125.20523,2.0,18128.43332,18128.43332,18124.39619,18136.50757,4.5,0.75,5.0,BE,287,closed
-23.24,2024-02-18T12:01:00.000Z,2024-02-18T09:58:00.000Z,22091,NQ,SHORT,London Open Liquidity Scalp,-0.5416,0.52,42.91,-0.6672,1.8042,18348.3623,18338.25886,18348.3623,18338.25886,2.0,18345.63469,18347.84839,18349.72283,18337.4584,4.5,0.75,5.0,MANUAL,123,closed
34.77,2025-09-09T12:44:00.000Z,2025-09-09T08:49:00.000Z,22092,XAUUSD,LONG,London Open Liquidity Scalp,0.7442,2.13,46.72,-0.5618,1.239,2039.252,2039.647,2039.704,2039.252,1.5,2039.375,2039.704,2039.155,2039.704,4.0,2.5,1.0,TP,235,closed
-25.76,2025-05-18T14:18:00.000Z,2025-05-18T10:48:00.000Z,22093,GBPUSD,LONG,London Open Liquidity Scalp,-0.5356,0.22,48.1,-1.1252,0.6036,1.25796,1.2618,1.2618,1.25796,2.5,1.26046,1.25927,1.25824,1.26601,3.5,1.2,10.0,STOP_OUT,210,closed
122.74,2025-11-18T12:29:00.000Z,2025-11-18T07:44:00.000Z,22094,NQ,SHORT,London Open Liquidity Scalp,2.5862,0.44,47.46,-3.2531,0.0,18858.35284,18840.70178,18858.35284,18826.66971,2.5,18840.70178,18826.66971,18846.1277,18827.13698,4.5,0.75,5.0,Trailing SL,285,closed
-27.42,2023-12-31T16:43:00.000Z,2023-12-31T09:55:00.000Z,22095,XAUUSD,SHORT,London Open Liquidity Scalp,-0.6187,2.62,44.32,-0.4103,1.1806,1991.761,1991.492,1991.797,1991.492,2.5,1991.692,1991.797,1991.861,1991.27,4.0,2.5,1.0,STOP_OUT,408,closed
-41.38,2024-08-02T10:04:00.000Z,2024-08-02T07:42:00.000Z,22096,EURUSD,SHORT,London Open Liquidity Scalp,-0.7609,0.25,54.38,-0.3609,1.6904,1.09947,1.09494,1.10088,1.09494,2.5,1.09867,1.10088,1.10088,1.09316,3.0,0.8,10.0,SL,142,closed
-7.92,2024-03-01T18:37:00.000Z,2024-03-01T14:07:00.000Z,22097,EURUSD,SHORT,London Open Liquidity Scalp,-0.1455,0.23,54.42,-0.2235,1.0189,1.08902,1.08607,1.08902,1.08607,3.0,1.08849,1.08839,1.09087,1.08135,3.0,0.8,10.0,BE,270,closed
-26.54,2023-12-11T14:05:00.000Z,2023-12-11T09:15:00.000Z,22098,EURUSD,LONG,London Open Liquidity Scalp,-0.5894,0.19,45.03,-1.5984,0.2383,1.09469,1.09908,1.09908,1.09469,2.5,1.09851,1.0971,1.09612,1.10448,3.0,0.8,10.0,MANUAL,290,closed
-32.49,2025-11-21T14:20:00.000Z,2025-11-21T13:36:00.000Z,22099,GBPUSD,LONG,London Open Liquidity Scalp,-0.6466,0.39,50.25,-0.8087,0.1433,1.27926,1.2805,1.2805,1.27926,2.0,1.28031,1.27947,1.27901,1.28291,3.5,1.2,10.0,MANUAL,44,closed
-18.28,2025-06-22T20:09:00.000Z,2025-06-22T15:07:00.000Z,22100,EURUSD,SHORT,London Open Liquidity Scalp,-0.3611,0.41,50.63,-0.8905,1.4547,1.11081,1.10791,1.11081,1.10791,2.0,1.10971,1.11016,1.11095,1.10723,3.0,0.8,10.0,MANUAL,302,closed
79.87,2025-01-09T16:18:00.000Z,2025-01-09T13:51:00.000Z,22101,NQ,SHORT,London Open Liquidity Scalp,1.8161,0.68,43.98,-2.4134,0.0,18245.73776,18237.91328,18245.73776,18231.42908,2.0,18237.91328,18231.42908,18241.15538,18231.42908,4.5,0.75,5.0,TP,147,closed
-24.6,2024-12-17T18:21:00.000Z,2024-12-17T14:03:00.000Z,22102,NQ,LONG,London Open Liquidity Scalp,-0.5394,0.34,45.61,-1.5244,0.1496,18033.51078,18044.60245,18044.60245,18033.51078,3.0,18043.61122,18040.03736,18036.98537,18063.48876,4.5,0.75,5.0,MANUAL,258,closed
45.55,2025-01-25T17:08:00.000Z,2025-01-25T14:51:00.000Z,22103,XAUUSD,SHORT,London Open Liquidity Scalp,1.0445,2.8,43.61,-1.3325,0.2088,1987.831,1987.592,1987.831,1987.461,2.0,1987.624,1987.461,1987.78,1987.313,4.0,2.5,1.0,Trailing SL,137,closed
-29.72,2025-12-01T18:36:00.000Z,2025-12-01T13:45:00.000Z,22104,XAUUSD,LONG,London Open Liquidity Scalp,-0.6355,1.84,46.77,-1.5738,0.7187,2041.011,2041.594,2041.594,2041.011,2.5,2041.411,2041.25,2041.157,2042.046,4.0,2.5,1.0,STOP_OUT,291,closed
127.86,2024-12-25T13:33:00.000Z,2024-12-25T10:52:00.000Z,22105,EURUSD,LONG,London Open Liquidity Scalp,2.9132,0.2,43.89,-0.2751,3.634,1.06617,1.07457,1.07457,1.06617,3.0,1.06676,1.07302,1.06461,1.07321,3.0,0.8,10.0,Trailing SL,161,closed
-16.59,2024-10-13T12:02:00.000Z,2024-10-13T07:34:00.000Z,22106,GBPUSD,LONG,London Open Liquidity Scalp,-0.3722,0.32,44.57,-1.4766,0.3683,1.26975,1.27232,1.27232,1.26975,3.0,1.27181,1.27041,1.27041,1.276,3.5,1.2,10.0,SL,268,closed
81.95,2024-04-29T11:24:00.000Z,2024-04-29T07:21:00.000Z,22107,NQ,LONG,London Open Liquidity Scalp,1.6148,0.77,50.75,-0.0,2.6515,18098.05864,18106.78137,18106.78137,18098.05864,2.0,18098.05864,18104.63811,18094.76891,18104.63811,4.5,0.75,5.0,TP,243,closed
59.75,2024-06-11T12:00:00.000Z,2024-06-11T09:34:00.000Z,22108,EURUSD,LONG,London Open Liquidity Scalp,1.1444,0.25,52.21,-0.0,2.2063,1.08901,1.09361,1.09361,1.08901,1.5,1.08901,1.09213,1.08693,1.09213,3.0,0.8,10.0,TP,146,closed
-25.85,2025-03-02T15:55:00.000Z,2025-03-02T10:03:00.000Z,22109,GBPUSD,LONG,London Open Liquidity Scalp,-0.5345,0.36,48.36,-1.5997,0.4024,1.28423,1.28692,1.28692,1.28423,2.5,1.28638,1.28566,1.28504,1.28973,3.5,1.2,10.0,MANUAL,352,closed
-7.0,2024-03-30T21:20:00.000Z,2024-03-30T15:13:00.000Z,22110,XAUUSD,LONG,London Open Liquidity Scalp,-0.147,3.94,47.63,-0.917,0.7243,2019.887,2020.085,2020.085,2019.887,2.5,2019.998,2020.008,2019.877,2020.3,4.0,2.5,1.0,BE,367,closed
-31.04,2024-03-21T15:02:00.000Z,2024-03-21T09:22:00.000Z,22111,EURUSD,SHORT,London Open Liquidity Scalp,-0.6657,0.21,46.63,-0.6592,1.4451,1.09061,1.086,1.09063,1.086,3.0,1.08917,1.09063,1.09136,1.08259,3.0,0.8,10.0,MANUAL,340,closed
-22.7,2024-12-11T15:46:00.000Z,2024-12-11T13:31:00.000Z,22112,XAUUSD,SHORT,London Open Liquidity Scalp,-0.4952,2.03,45.84,-0.0656,0.8109,2039.807,2039.609,2039.904,2039.609,1.5,2039.792,2039.904,2040.018,2039.453,4.0,2.5,1.0,MANUAL,135,closed
73.93,2025-01-09T19:25:00.000Z,2025-01-09T14:05:00.000Z,22113,GBPUSD,SHORT,London Open Liquidity Scalp,1.8133,0.32,40.77,-2.1744,0.0,1.28853,1.28576,1.28853,1.28322,2.0,1.28576,1.28322,1.28703,1.28322,3.5,1.2,10.0,TP,320,closed
95.7,2024-10-16T14:48:00.000Z,2024-10-16T10:05:00.000Z,22114,USDJPY,LONG,London Open Liquidity Scalp,2.2189,0.29,43.13,-0.1002,2.9926,149.649,150.154,150.154,149.649,2.5,149.665,150.074,149.501,150.074,3.0,0.9,9.2,TP,283,closed
69.91,2024-04-13T11:17:00.000Z,2024-04-13T10:52:00.000Z,22115,EURUSD,SHORT,London Open Liquidity Scalp,1.306,0.35,53.53,-1.342,0.1148,1.09843,1.09622,1.09843,1.09335,2.0,1.09639,1.09335,1.09791,1.09335,3.0,0.8,10.0,TP,25,closed
-33.77,2024-04-12T11:07:00.000Z,2024-04-12T08:09:00.000Z,22116,EURUSD,SHORT,London Open Liquidity Scalp,-0.7843,0.24,43.06,-0.2719,1.7512,1.10662,1.10295,1.10795,1.10295,1.5,1.10613,1.10795,1.10795,1.10341,3.0,0.8,10.0,SL,178,closed
66.51,2023-12-20T14:59:00.000Z,2023-12-20T14:32:00.000Z,22117,USDJPY,LONG,London Open Liquidity Scalp,1.5464,0.23,43.01,-0.0,1.8717,146.008,146.388,146.515,146.008,2.5,146.008,146.515,145.805,146.515,3.0,0.9,9.2,TP,27,closed
81.45,2024-10-04T11:00:00.000Z,2024-10-04T09:18:00.000Z,22118,NQ,SHORT,London Open Liquidity Scalp,1.9084,0.56,42.68,-2.2203,0.0,18033.13214,18024.61872,18033.13214,18017.30125,2.5,18024.61872,18017.30125,18028.45307,18015.03283,4.5,0.75,5.0,MANUAL,102,closed
153.35,2025-08-15T17:20:00.000Z,2025-08-15T14:53:00.000Z,22119,GBPUSD,LONG,London Open Liquidity Scalp,3.0318,0.19,50.58,-0.0,3.1548,1.24398,1.25233,1.25233,1.24398,3.0,1.24398,1.25192,1.24133,1.25192,3.5,1.2,10.0,TP,147,closed
58.64,2024-12-22T14:55:00.000Z,2024-12-22T07:59:00.000Z,22120,USDJPY,LONG,London Open Liquidity Scalp,1.3022,0.18,45.03,-0.0,2.2956,151.422,152.032,152.032,151.422,1.5,151.422,151.82,151.156,151.82,3.0,0.9,9.2,TP,416,closed
-36.79,2025-07-22T10:24:00.000Z,2025-07-22T08:11:00.000Z,22121,USDJPY,LONG,London Open Liquidity Scalp,-0.8772,0.19,41.94,-1.8967,0.1082,147.945,148.438,148.438,147.945,2.5,148.411,148.195,148.165,149.025,3.0,0.9,9.2,STOP_OUT,133,closed
29.15,2024-07-20T12:21:00.000Z,2024-07-20T08:57:00.000Z,22122,EURUSD,LONG,London Open Liquidity Scalp,0.6152,0.26,47.38,-0.4155,0.9588,1.06279,1.06531,1.06813,1.06279,2.5,1.06355,1.06813,1.06172,1.06813,3.0,0.8,10.0,TP,204,closed
1.19,2025-06-24T13:54:00.000Z,2025-06-24T09:06:00.000Z,22123,USDJPY,SHORT,London Open Liquidity Scalp,0.0289,0.24,41.13,-1.0424,1.0324,150.516,150.132,150.516,150.132,1.5,150.323,150.323,150.508,150.045,3.0,0.9,9.2,BE,288,closed
-32.13,2025-08-05T20:26:00.000Z,2025-08-05T13:46:00.000Z,22124,GBPUSD,LONG,London Open Liquidity Scalp,-0.7403,0.28,43.4,-1.8118,0.248,1.23562,1.23884,1.23884,1.23562,2.5,1.23845,1.23689,1.23689,1.24235,3.5,1.2,10.0,SL,400,closed
-52.21,2024-05-29T10:42:00.000Z,2024-05-29T07:06:00.000Z,22125,GBPUSD,LONG,London Open Liquidity Scalp,-0.9587,0.27,54.46,-1.3958,0.0,1.25334,1.25611,1.25611,1.25334,2.0,1.25611,1.25412,1.25412,1.26008,3.5,1.2,10.0,SL,216,closed
-28.37,2024-04-07T11:23:00.000Z,2024-04-07T10:39:00.000Z,22126,EURUSD,LONG,London Open Liquidity Scalp,-0.696,0.16,40.76,-1.5374,0.0751,1.09072,1.0949,1.0949,1.09072,1.5,1.09471,1.0929,1.09212,1.0986,3.0,0.8,10.0,STOP_OUT,44,closed
-24.28,2025-02-03T15:52:00.000Z,2025-02-03T13:18:00.000Z,22127,XAUUSD,SHORT,London Open Liquidity Scalp,-0.5064,3.35,47.95,-0.5386,1.7597,1990.648,1990.319,1990.648,1990.319,1.5,1990.571,1990.643,1990.714,1990.356,4.0,2.5,1.0,STOP_OUT,154,closed
-35.47,2025-05-09T13:46:00.000Z,2025-05-09T10:22:00.000Z,22128,USDJPY,SHORT,London Open Liquidity Scalp,-0.6576,0.24,53.94,-0.2876,1.2859,148.421,148.039,148.594,148.039,2.5,148.351,148.594,148.594,147.744,3.0,0.9,9.2,SL,204,closed
-40.39,2025-09-30T12:26:00.000Z,2025-09-30T10:01:00.000Z,22129,GBPUSD,SHORT,London Open Liquidity Scalp,-0.8265,0.19,48.87,-0.0088,1.119,1.25695,1.25408,1.25904,1.25408,2.0,1.25693,1.25904,1.25948,1.25183,3.5,1.2,10.0,STOP_OUT,145,closed
77.2,2025-05-08T08:58:00.000Z,2025-05-08T07:08:00.000Z,22130,USDJPY,SHORT,London Open Liquidity Scalp,1.7561,0.24,43.96,-1.9554,0.0,147.61,147.219,147.61,146.819,2.0,147.219,146.819,147.419,146.819,3.0,0.9,9.2,TP,110,closed
96.03,2025-09-30T15:13:00.000Z,2025-09-30T14:33:00.000Z,22131,GBPUSD,LONG,London Open Liquidity Scalp,1.9646,0.2,48.88,-0.0,2.5639,1.28193,1.28826,1.28826,1.28193,2.5,1.28193,1.2881,1.27946,1.2881,3.5,1.2,10.0,TP,40,closed
41.9,2025-04-01T16:38:00.000Z,2025-04-01T13:52:00.000Z,22132,USDJPY,SHORT,London Open Liquidity Scalp,0.8618,0.21,48.62,-1.0626,0.0271,147.256,146.986,147.256,146.622,1.5,146.993,146.622,147.24,146.622,3.0,0.9,9.2,TP,166,closed
64.55,2024-09-07T10:44:00.000Z,2024-09-07T08:07:00.000Z,22133,GBPUSD,LONG,London Open Liquidity Scalp,1.3641,0.34,47.32,-0.2412,1.7646,1.25838,1.26118,1.26118,1.25838,1.5,1.25872,1.26081,1.25732,1.26081,3.5,1.2,10.0,TP,157,closed
3.61,2025-11-14T11:25:00.000Z,2025-11-14T10:09:00.000Z,22134,XAUUSD,LONG,London Open Liquidity Scalp,0.0736,3.01,49.02,-0.685,1.2348,2079.037,2079.35,2079.35,2079.037,3.0,2079.149,2079.149,2078.986,2079.637,4.0,2.5,1.0,BE,76,closed
19.19,2024-05-21T11:45:00.000Z,2024-05-21T10:22:00.000Z,22135,EURUSD,LONG,London Open Liquidity Scalp,0.4512,0.2,42.53,-0.2827,1.4622,1.08563,1.08938,1.09162,1.08563,2.5,1.08624,1.09162,1.08409,1.09162,3.0,0.8,10.0,TP,83,closed
52.31,2024-12-25T14:26:00.000Z,2024-12-25T09:55:00.000Z,22136,NQ,SHORT,London Open Liquidity Scalp,1.1127,0.4,47.01,-1.9124,0.0,18329.90602,18318.56433,18329.90602,18311.96449,1.5,18318.56433,18311.96449,18324.49493,18309.66842,4.5,0.75,5.0,Trailing SL,271,closed
-36.88,2025-08-30T14:43:00.000Z,2025-08-30T13:55:00.000Z,22137,NQ,SHORT,London Open Liquidity Scalp,-0.7165,0.52,51.47,-0.2723,1.5417,18884.40302,18875.4697,18887.9867,18875.4697,3.0,18883.06204,18887.9867,18887.9867,18868.28807,4.5,0.75,5.0,SL,48,closed
-2.92,2024-02-16T17:51:00.000Z,2024-02-16T14:20:00.000Z,22138,XAUUSD,SHORT,London Open Liquidity Scalp,-0.0559,2.1,52.21,-1.1775,1.2145,2055.406,2054.811,2055.406,2054.811,2.5,2055.113,2055.103,2055.362,2054.491,4.0,2.5,1.0,BE,211,closed
-1.33,2024-09-15T12:46:00.000Z,2024-09-15T09:46:00.000Z,22139,EURUSD,LONG,London Open Liquidity Scalp,-0.0265,0.23,50.26,-1.0724,0.9011,1.06583,1.07015,1.07015,1.06583,2.5,1.06818,1.06828,1.06599,1.07365,3.0,0.8,10.0,BE,180,closed
27.55,2025-05-20T16:16:00.000Z,2025-05-20T10:08:00.000Z,22140,EURUSD,SHORT,London Open Liquidity Scalp,0.6403,0.24,43.03,-1.2003,0.7809,1.09379,1.09031,1.09379,1.09031,2.0,1.09168,1.09055,1.09344,1.08816,3.0,0.8,10.0,Trailing SL,368,closed
-4.4,2024-03-20T19:11:00.000Z,2024-03-20T14:21:00.000Z,22141,GBPUSD,SHORT,London Open Liquidity Scalp,-0.1,0.16,44.02,-0.6607,0.7636,1.27133,1.26749,1.27133,1.26749,3.0,1.26955,1.26945,1.27225,1.26145,3.5,1.2,10.0,BE,290,closed
152.58,2024-02-26T20:13:00.000Z,2024-02-26T14:56:00.000Z,22142,XAUUSD,SHORT,London Open Liquidity Scalp,3.0136,2.15,50.63,-3.6564,0.0714,2007.194,2006.316,2007.194,2005.626,3.0,2006.333,2005.626,2006.569,2005.626,4.0,2.5,1.0,TP,317,closed
-30.55,2025-05-11T14:53:00.000Z,2025-05-11T14:30:00.000Z,22143,EURUSD,SHORT,London Open Liquidity Scalp,-0.7312,0.2,41.78,-0.4593,1.2413,1.06789,1.06426,1.06847,1.06426,2.0,1.06691,1.06847,1.06905,1.06264,3.0,0.8,10.0,MANUAL,23,closed
27.5,2025-02-28T11:03:00.000Z,2025-02-28T09:26:00.000Z,22144,GBPUSD,SHORT,London Open Liquidity Scalp,0.5532,0.26,49.71,-1.5988,0.4909,1.29412,1.29009,1.29412,1.28622,2.5,1.29104,1.28622,1.29297,1.28622,3.5,1.2,10.0,TP,97,closed
66.11,2025-07-17T15:31:00.000Z,2025-07-17T08:46:00.000Z,22145,EURUSD,SHORT,London Open Liquidity Scalp,1.3307,0.2,49.68,-2.0314,0.1946,1.09061,1.08511,1.09061,1.07941,2.5,1.08559,1.07941,1.08806,1.07941,3.0,0.8,10.0,TP,405,closed
-33.46,2024-12-04T20:36:00.000Z,2024-12-04T14:32:00.000Z,22146,USDJPY,SHORT,London Open Liquidity Scalp,-0.6196,0.29,54.0,-0.3445,1.4263,150.302,149.943,150.435,149.943,1.5,150.232,150.435,150.435,149.928,3.0,0.9,9.2,SL,364,closed
20.6,2025-08-24T16:54:00.000Z,2025-08-24T10:16:00.000Z,22147,NQ,LONG,London Open Liquidity Scalp,0.4066,0.41,50.67,-0.4511,1.8533,18715.28219,18729.43525,18729.43525,18715.28219,1.5,18718.05274,18727.26537,18711.91099,18727.26537,4.5,0.75,5.0,TP,398,closed
-21.18,2025-04-30T13:59:00.000Z,2025-04-30T09:21:00.000Z,22148,NQ,SHORT,London Open Liquidity Scalp,-0.4492,0.38,47.15,-0.6325,1.2302,18629.12322,18617.70311,18631.37634,18617.70311,2.0,18625.2454,18631.37634,18631.37634,18612.98351,4.5,0.75,5.0,SL,278,closed
76.57,2024-01-19T22:04:00.000Z,2024-01-19T15:46:00.000Z,22149,USDJPY,LONG,London Open Liquidity Scalp,1.6858,0.18,45.42,-0.0,2.6663,146.511,147.246,147.246,146.511,2.0,146.511,147.062,146.235,147.062,3.0,0.9,9.2,TP,378,closed
73.83,2025-05-16T16:08:00.000Z,2025-05-16T15:02:00.000Z,22150,EURUSD,LONG,London Open Liquidity Scalp,1.388,0.36,53.19,-0.0,1.8554,1.09953,1.10228,1.10228,1.09953,1.5,1.09953,1.10159,1.09805,1.10176,3.0,0.8,10.0,MANUAL,66,closed
-40.39,2025-02-11T18:19:00.000Z,2025-02-11T15:25:00.000Z,22151,GBPUSD,LONG,London Open Liquidity Scalp,-0.9173,0.31,44.03,-1.8899,0.222,1.23424,1.23723,1.23723,1.23424,2.0,1.23692,1.2355,1.2355,1.23975,3.5,1.2,10.0,SL,174,closed
95.51,2024-12-09T22:12:00.000Z,2024-12-09T15:57:00.000Z,22152,NQ,LONG,London Open Liquidity Scalp,2.1444,0.36,44.54,-0.0,3.1788,18058.81854,18078.72557,18078.72557,18058.81854,3.0,18058.81854,18072.24779,18052.5561,18077.60585,4.5,0.75,5.0,Trailing SL,375,closed
49.48,2024-11-11T16:09:00.000Z,2024-11-11T10:22:00.000Z,22153,XAUUSD,LONG,London Open Liquidity Scalp,1.083,1.82,45.69,-0.0201,1.8012,1994.784,1995.242,1995.242,1994.784,1.5,1994.789,1995.167,1994.537,1995.167,4.0,2.5,1.0,TP,347,closed
59.02,2024-11-26T19:03:00.000Z,2024-11-26T14:42:00.000Z,22154,GBPUSD,LONG,London Open Liquidity Scalp,1.1418,0.28,51.69,-0.0222,2.2112,1.24802,1.25218,1.25218,1.24802,3.0,1.24806,1.25019,1.2462,1.25365,3.5,1.2,10.0,MANUAL,261,closed
33.39,2025-08-26T15:41:00.000Z,2025-08-26T14:30:00.000Z,22155,EURUSD,LONG,London Open Liquidity Scalp,0.7641,0.27,43.7,-0.1838,1.2906,1.09386,1.09622,1.09655,1.09386,1.5,1.09415,1.09655,1.09255,1.09655,3.0,0.8,10.0,TP,71,closed
90.52,2024-12-02T14:34:00.000Z,2024-12-02T13:27:00.000Z,22156,GBPUSD,LONG,London Open Liquidity Scalp,1.7746,0.21,51.01,-0.3017,2.3593,1.25497,1.26153,1.26153,1.25497,2.0,1.25571,1.26064,1.25324,1.26064,3.5,1.2,10.0,TP,67,closed
-4.65,2024-03-14T12:34:00.000Z,2024-03-14T10:02:00.000Z,22157,EURUSD,SHORT,London Open Liquidity Scalp,-0.0888,0.21,52.34,-1.068,0.266,1.10858,1.10525,1.10858,1.10525,2.5,1.10591,1.10581,1.10841,1.09967,3.0,0.8,10.0,BE,152,closed
-18.19,2025-02-27T12:25:00.000Z,2025-02-27T10:59:00.000Z,22158,EURUSD,LONG,London Open Liquidity Scalp,-0.407,0.22,44.69,-0.7055,0.8747,1.09228,1.09551,1.09551,1.09228,2.5,1.09372,1.09289,1.09168,1.09883,3.0,0.8,10.0,MANUAL,86,closed
-19.98,2024-08-02T11:16:00.000Z,2024-08-02T10:07:00.000Z,22159,XAUUSD,SHORT,London Open Liquidity Scalp,-0.4839,1.49,41.29,-0.1793,0.7695,2048.729,2048.466,2048.955,2048.466,1.5,2048.679,2048.955,2048.955,2048.265,4.0,2.5,1.0,SL,69,closed
-19.54,2024-04-17T13:43:00.000Z,2024-04-17T10:06:00.000Z,22160,NQ,SHORT,London Open Liquidity Scalp,-0.3694,0.61,52.89,-0.438,1.1809,18027.80441,18020.83767,18027.80441,18020.83767,2.0,18025.91953,18027.50917,18030.22291,18017.31278,4.5,0.75,5.0,STOP_OUT,217,closed
-6.81,2025-12-08T20:37:00.000Z,2025-12-08T15:47:00.000Z,22161,GBPUSD,SHORT,London Open Liquidity Scalp,-0.1312,0.41,51.91,-0.9301,0.6472,1.28498,1.283,1.28498,1.283,2.5,1.28381,1.28371,1.28507,1.28067,3.5,1.2,10.0,BE,290,closed
-32.81,2024-10-28T11:30:00.000Z,2024-10-28T10:45:00.000Z,22162,GBPUSD,LONG,London Open Liquidity Scalp,-0.5987,0.21,54.8,-0.7246,0.3624,1.25785,1.26067,1.26067,1.25785,1.5,1.25973,1.25818,1.25714,1.26361,3.5,1.2,10.0,STOP_OUT,45,closed
-1.18,2025-05-04T21:24:00.000Z,2025-05-04T14:25:00.000Z,22163,EURUSD,LONG,London Open Liquidity Scalp,-0.024,0.23,49.2,-1.0005,1.1795,1.08467,1.08937,1.08937,1.08467,2.5,1.08683,1.08693,1.08467,1.09222,3.0,0.8,10.0,BE,419,closed
26.59,2024-11-25T12:37:00.000Z,2024-11-25T08:33:00.000Z,22164,NQ,LONG,London Open Liquidity Scalp,0.5007,0.69,53.11,-0.4625,1.7193,18459.30905,18467.68646,18467.68646,18459.30905,1.5,18461.0849,18466.84442,18457.24522,18466.84442,4.5,0.75,5.0,TP,244,closed
-32.75,2024-01-03T12:58:00.000Z,2024-01-03T07:21:00.000Z,22165,GBPUSD,SHORT,London Open Liquidity Scalp,-0.6171,0.31,53.07,-0.0565,1.8768,1.23678,1.2335,1.23838,1.2335,2.5,1.23668,1.23838,1.23838,1.23244,3.5,1.2,10.0,SL,337,closed
50.62,2025-11-16T09:48:00.000Z,2025-11-16T07:37:00.000Z,22166,XAUUSD,SHORT,London Open Liquidity Scalp,0.9229,2.52,54.85,-1.3237,0.0185,1987.822,1987.53,1987.822,1987.099,2.0,1987.534,1987.099,1987.752,1987.099,4.0,2.5,1.0,TP,131,closed
-7.33,2025-10-06T22:00:00.000Z,2025-10-06T15:02:00.000Z,22167,GBPUSD,SHORT,London Open Liquidity Scalp,-0.1387,0.28,52.83,-0.9235,0.8892,1.26164,1.25822,1.26164,1.25822,1.5,1.2599,1.2598,1.26178,1.25707,3.5,1.2,10.0,BE,418,closed
-5.41,2024-09-01T12:36:00.000Z,2024-09-01T09:57:00.000Z,22168,XAUUSD,LONG,London Open Liquidity Scalp,-0.1131,2.56,47.82,-1.1753,0.607,1994.458,1994.792,1994.792,1994.458,2.0,1994.678,1994.688,1994.491,1995.052,4.0,2.5,1.0,BE,159,closed
-21.19,2024-08-15T14:08:00.000Z,2024-08-15T07:09:00.000Z,22169,XAUUSD,SHORT,London Open Liquidity Scalp,-0.4541,1.94,46.66,-0.4154,1.2553,2075.164,2074.763,2075.173,2074.763,1.5,2075.064,2075.173,2075.304,2074.704,4.0,2.5,1.0,STOP_OUT,419,closed
108.23,2024-01-18T11:09:00.000Z,2024-01-18T10:16:00.000Z,22170,EURUSD,SHORT,London Open Liquidity Scalp,2.1573,0.29,50.17,-2.2636,0.0,1.06379,1.05992,1.06379,1.05479,3.0,1.05992,1.05479,1.06163,1.05479,3.0,0.8,10.0,TP,53,closed
104.97,2023-12-06T10:53:00.000Z,2023-12-06T07:34:00.000Z,22171,EURUSD,LONG,London Open Liquidity Scalp,2.5343,0.2,41.42,-0.0,2.7517,1.06965,1.07533,1.07533,1.06965,2.5,1.06965,1.07481,1.06758,1.07481,3.0,0.8,10.0,TP,199,closed
0.1,2023-12-20T17:37:00.000Z,2023-12-20T13:37:00.000Z,22172,GBPUSD,LONG,London Open Liquidity Scalp,0.0022,0.22,44.86,-0.375,0.5965,1.25684,1.25883,1.25883,1.25684,3.0,1.25761,1.25761,1.25556,1.26377,3.5,1.2,10.0,BE,240,closed
78.46,2024-07-15T14:25:00.000Z,2024-07-15T13:18:00.000Z,22173,EURUSD,SHORT,London Open Liquidity Scalp,1.4973,0.23,52.4,-2.2484,0.0366,1.10195,1.0967,1.10195,1.09333,1.5,1.09678,1.09333,1.09908,1.09333,3.0,0.8,10.0,TP,67,closed
-39.55,2024-11-05T09:10:00.000Z,2024-11-05T07:09:00.000Z,22174,XAUUSD,SHORT,London Open Liquidity Scalp,-0.7947,2.49,49.77,-0.3354,1.5164,2076.456,2076.086,2076.548,2076.086,1.5,2076.389,2076.548,2076.589,2076.089,4.0,2.5,1.0,STOP_OUT,121,closed
69.8,2025-03-07T12:20:00.000Z,2025-03-07T10:31:00.000Z,22175,XAUUSD,LONG,London Open Liquidity Scalp,1.488,1.9,46.91,-0.0,2.0166,1991.098,1991.595,1991.837,1991.098,3.0,1991.098,1991.837,1990.852,1991.837,4.0,2.5,1.0,TP,109,closed
-24.52,2025-07-01T09:47:00.000Z,2025-07-01T07:59:00.000Z,22176,NQ,SHORT,London Open Liquidity Scalp,-0.4779,0.43,51.31,-0.6417,1.0402,18484.24644,18474.21037,18484.24644,18474.21037,2.0,18480.41735,18483.26873,18486.38445,18468.48314,4.5,0.75,5.0,MANUAL,108,closed
58.51,2024-03-22T10:56:00.000Z,2024-03-22T09:31:00.000Z,22177,EURUSD,LONG,London Open Liquidity Scalp,1.3098,0.17,44.67,-0.2059,2.1508,1.09491,1.10127,1.10127,1.09491,1.5,1.09547,1.09952,1.09277,1.09952,3.0,0.8,10.0,TP,85,closed
