tradeId,ticker,direction,setup,netPnL,openTime,closeTime,rMultiple,mae_r,mfe_r,quantity,riskAmount,spread_pips_at_entry,commission_at_entry,pip_value_at_entry
demo-204,XAUUSD,BUY,CSV,93.95,1700661300000,1700888100000,0.45,-0.18,1.04,1,210.0,1.4,3.0,10.0
demo-205,NAS100,SELL,Breakout,64.31,1700890380000,1701034380000,0.36,-0.26,0.25,1,181.0,1.1,1.2,10.0
demo-206,EURUSD,SELL,Pullback,213.1,1701035580000,1701064380000,1.07,-0.78,1.86,1,200.0,1.1,3.7,10.0
demo-207,GBPUSD,SELL,Reversal,358.56,1701066300000,1701275100000,2.04,-0.88,0.39,1,176.0,0.8,4.0,10.0
demo-208,USDJPY,SELL,CSV,-55.44,1701281760000,1701465360000,-0.49,-0.05,0.13,1,112.0,1.2,3.2,8.0
demo-209,XAUUSD,BUY,Breakout,-92.44,1701474360000,1701672360000,-0.52,-0.38,0.72,1,177.0,0.6,3.0,10.0
demo-210,NAS100,BUY,Pullback,183.4,1701681420000,1701692220000,1.39,-0.47,1.64,1,132.0,0.9,1.1,10.0
demo-211,EURUSD,SELL,Reversal,405.81,1701696780000,1701901980000,1.86,-0.1,1.25,1,218.0,0.9,3.7,10.0
demo-212,GBPUSD,BUY,CSV,-268.0,1701906420000,1702054020000,-1.15,-0.28,0.85,1,233.0,1.2,1.8,10.0
demo-213,USDJPY,SELL,Breakout,-89.27,1702063740000,1702322940000,-0.72,-0.52,0.85,1,124.0,1.7,2.0,8.0
demo-214,XAUUSD,BUY,Pullback,79.27,1702332900000,1702527300000,0.67,-0.56,0.64,1,118.0,1.0,3.1,10.0
demo-215,NAS100,SELL,Reversal,240.59,1702534440000,1702750440000,1.08,-0.55,0.98,1,223.0,0.9,2.9,10.0
demo-216,EURUSD,BUY,CSV,-119.72,1702752180000,1702960980000,-1.16,-0.1,0.85,1,103.0,1.8,1.6,10.0
demo-217,GBPUSD,BUY,Breakout,391.34,1702967520000,1703226720000,1.94,-0.34,2.19,1,202.0,1.9,3.9,10.0
demo-218,USDJPY,SELL,Pullback,-145.43,1703230920000,1703288520000,-1.02,-0.43,0.64,1,142.0,1.7,2.1,8.0
demo-219,XAUUSD,SELL,Reversal,197.09,1703296740000,1703545140000,1.25,-0.52,0.31,1,158.0,1.7,2.0,10.0
demo-220,NAS100,SELL,CSV,213.51,1703551500000,1703648700000,1.33,-0.26,0.42,1,160.0,1.4,2.8,10.0
demo-221,EURUSD,SELL,Breakout,89.55,1703655240000,1703849640000,0.75,-0.59,0.65,1,119.0,1.0,3.5,10.0
demo-222,GBPUSD,BUY,Pullback,-78.4,1703855040000,1704081840000,-0.64,-0.18,0.85,1,123.0,1.9,2.6,10.0
demo-223,USDJPY,BUY,Reversal,-29.2,1704089760000,1704118560000,-0.33,-0.83,0.19,1,88.0,1.2,3.5,8.0
demo-224,XAUUSD,SELL,CSV,145.73,1704127500000,1704235500000,1.24,-0.4,1.51,1,118.0,1.5,1.0,10.0
demo-225,NAS100,BUY,Breakout,236.15,1704237420000,1704485820000,1.28,-0.31,2.35,1,185.0,1.3,3.1,10.0
demo-226,EURUSD,SELL,Pullback,-88.47,1704495180000,1704696780000,-0.83,-0.28,0.85,1,107.0,1.7,1.8,10.0
demo-227,GBPUSD,SELL,Reversal,-132.11,1704700380000,1704883980000,-0.75,-0.28,0.85,1,175.0,1.6,3.5,10.0
demo-228,USDJPY,BUY,CSV,241.05,1704886080000,1704904080000,1.32,-0.1,0.1,1,183.0,0.7,3.5,8.0
demo-229,XAUUSD,SELL,Breakout,-131.15,1704906360000,1705061160000,-1.26,-0.27,0.85,1,104.0,1.0,3.8,10.0
demo-230,NAS100,BUY,Pullback,-100.19,1705070700000,1705200300000,-0.45,-0.86,0.12,1,224.0,1.4,3.3,10.0
demo-231,EURUSD,SELL,Reversal,120.25,1705209540000,1705393140000,0.77,-0.84,0.98,1,156.0,1.1,3.2,10.0
demo-232,GBPUSD,SELL,CSV,187.3,1705395180000,1705434780000,1.11,-0.85,0.87,1,168.0,2.0,2.0,10.0
demo-233,USDJPY,SELL,Breakout,270.15,1705443360000,1705569360000,1.32,-0.41,0.51,1,205.0,0.7,2.9,8.0
demo-234,XAUUSD,SELL,Pullback,102.51,1705577160000,1705692360000,1.01,-0.79,0.44,1,101.0,1.0,1.3,10.0
demo-235,NAS100,SELL,Reversal,158.66,1705694340000,1705697940000,0.82,-0.18,0.51,1,193.0,1.4,2.5,10.0
demo-236,EURUSD,SELL,CSV,52.31,1705703520000,1705753920000,0.51,-0.62,0.83,1,102.0,0.6,2.2,10.0
demo-237,GBPUSD,SELL,Breakout,-61.99,1705755180000,1705794780000,-0.44,-0.41,0.4,1,142.0,1.0,1.4,10.0
demo-238,USDJPY,BUY,Pullback,179.61,1705804260000,1705883460000,1.2,-0.12,0.66,1,150.0,1.6,2.5,8.0
demo-239,XAUUSD,SELL,Reversal,38.72,1705891020000,1705984620000,0.36,-0.43,2.03,1,107.0,1.7,2.0,10.0
demo-240,NAS100,SELL,CSV,211.39,1705992540000,1706147340000,0.91,-0.95,0.55,1,232.0,0.8,2.2,10.0
demo-241,EURUSD,SELL,Breakout,-227.59,1706154840000,1706302440000,-1.11,-0.36,0.73,1,205.0,1.1,3.8,10.0
demo-242,GBPUSD,BUY,Pullback,370.84,1706307780000,1706401380000,1.69,-0.08,1.77,1,219.0,1.2,1.9,10.0
demo-243,USDJPY,SELL,Reversal,182.15,1706411340000,1706443740000,0.88,-0.29,0.44,1,207.0,1.7,1.2,8.0
demo-244,XAUUSD,BUY,CSV,-230.38,1706450880000,1706674080000,-1.27,-0.88,0.85,1,182.0,1.7,2.1,10.0
demo-245,NAS100,BUY,Breakout,79.22,1706683920000,1706932320000,0.78,-0.68,0.47,1,101.0,1.4,2.9,10.0
demo-246,EURUSD,BUY,Pullback,99.29,1706942340000,1707129540000,0.52,-0.26,1.81,1,190.0,1.2,2.2,10.0
demo-247,GBPUSD,BUY,Reversal,-131.22,1707135480000,1707369480000,-0.78,-0.33,0.85,1,168.0,0.8,3.8,10.0
demo-248,USDJPY,BUY,CSV,273.87,1707372660000,1707441060000,1.72,-0.55,0.89,1,159.0,1.2,3.1,8.0
demo-249,XAUUSD,BUY,Breakout,248.64,1707447300000,1707594900000,1.59,-0.07,0.88,1,156.0,1.5,1.5,10.0
demo-250,NAS100,SELL,Pullback,-76.15,1707596820000,1707712020000,-0.61,-0.46,0.85,1,124.0,1.5,1.6,10.0
demo-251,EURUSD,BUY,Reversal,-106.26,1707720840000,1707922440000,-1.22,-0.48,0.85,1,87.0,1.6,1.6,10.0
demo-252,GBPUSD,BUY,CSV,-89.1,1707929400000,1707961800000,-0.84,-0.4,0.54,1,106.0,1.0,3.6,10.0
demo-253,USDJPY,SELL,Breakout,-147.59,1707971520000,1708216320000,-0.92,-0.61,0.85,1,160.0,1.5,3.4,8.0
demo-254,XAUUSD,BUY,Pullback,135.0,1708227000000,1708367400000,0.58,-0.16,0.79,1,231.0,1.1,1.4,10.0
demo-255,NAS100,BUY,Reversal,236.99,1708377720000,1708557720000,1.02,-0.23,1.55,1,232.0,1.4,2.5,10.0
demo-256,EURUSD,SELL,CSV,-149.02,1708565040000,1708629840000,-0.93,-0.87,0.85,1,160.0,0.8,3.4,10.0
demo-257,GBPUSD,BUY,Breakout,249.37,1708633560000,1708892760000,1.21,-0.72,1.11,1,206.0,0.7,1.1,10.0
demo-258,USDJPY,SELL,Pullback,113.59,1708901400000,1709005800000,1.29,-0.21,1.14,1,88.0,1.4,1.3,8.0
demo-259,XAUUSD,SELL,Reversal,-143.13,1709011140000,1709065140000,-0.65,-0.83,0.18,1,219.0,1.4,4.0,10.0
demo-260,NAS100,BUY,CSV,-44.53,1709070120000,1709120520000,-0.29,-0.3,0.85,1,156.0,1.2,4.0,10.0
demo-261,EURUSD,BUY,Breakout,-275.35,1709125200000,1709236800000,-1.2,-0.63,0.85,1,230.0,1.7,3.4,10.0
demo-262,GBPUSD,SELL,Pullback,-153.21,1709240880000,1709269680000,-0.91,-0.21,0.85,1,169.0,1.0,1.8,10.0
demo-263,USDJPY,BUY,Reversal,-127.03,1709279280000,1709516880000,-1.11,-0.92,0.85,1,114.0,1.6,1.4,8.0
demo-264,XAUUSD,SELL,CSV,-142.12,1709519220000,1709587620000,-0.99,-0.51,0.85,1,143.0,1.5,2.1,10.0
demo-265,NAS100,SELL,Breakout,171.2,1709593440000,1709629440000,1.66,-0.71,2.12,1,103.0,1.9,2.0,10.0
demo-266,EURUSD,SELL,Pullback,-200.35,1709640060000,1709643660000,-1.02,-0.86,0.85,1,197.0,0.9,2.3,10.0
demo-267,GBPUSD,SELL,Reversal,125.25,1709645940000,1709746740000,0.85,-0.57,0.38,1,148.0,1.7,3.7,10.0
demo-268,USDJPY,BUY,CSV,-122.89,1709755200000,1709780400000,-1.17,-0.07,0.85,1,105.0,1.2,1.0,8.0
demo-269,XAUUSD,BUY,Breakout,-65.77,1709781960000,1709979960000,-0.58,-0.88,0.85,1,113.0,1.5,1.8,10.0
demo-270,NAS100,BUY,Pullback,82.27,1709983920000,1710156720000,0.88,-0.71,0.62,1,93.0,1.6,1.0,10.0
demo-271,EURUSD,SELL,Reversal,-92.82,1710160140000,1710383340000,-0.82,-0.47,0.1,1,113.0,1.7,4.0,10.0
demo-272,GBPUSD,SELL,CSV,206.12,1710385380000,1710583380000,1.02,-0.74,0.32,1,202.0,1.1,1.9,10.0
demo-273,USDJPY,SELL,Breakout,154.95,1710586260000,1710762660000,1.34,-0.63,0.46,1,116.0,1.6,2.9,8.0
demo-274,XAUUSD,BUY,Pullback,-283.44,1710765600000,1710837600000,-1.2,-0.13,0.31,1,237.0,1.4,2.2,10.0
demo-275,NAS100,SELL,Reversal,169.98,1710844800000,1711042800000,1.48,-0.29,1.47,1,115.0,1.7,3.1,10.0
demo-276,EURUSD,BUY,CSV,-96.99,1711048500000,1711188900000,-0.46,-0.42,0.85,1,212.0,1.3,1.3,10.0
demo-277,GBPUSD,SELL,Breakout,442.02,1711192920000,1711423320000,1.91,-0.06,0.92,1,232.0,0.8,3.6,10.0
demo-278,USDJPY,BUY,Pullback,-238.49,1711434000000,1711628400000,-1.09,-0.96,0.85,1,219.0,1.4,1.0,8.0
demo-279,XAUUSD,SELL,Reversal,-65.34,1711634880000,1711735680000,-0.69,-0.32,0.85,1,95.0,1.2,2.2,10.0
demo-280,NAS100,BUY,CSV,117.62,1711737180000,1711985580000,0.5,-0.13,2.22,1,237.0,1.4,2.2,10.0
demo-281,EURUSD,SELL,Breakout,-225.59,1711994700000,1712027100000,-1.18,-0.11,0.28,1,191.0,0.8,2.8,10.0
demo-282,GBPUSD,SELL,Pullback,197.01,1712032740000,1712061540000,1.59,-0.72,0.46,1,124.0,1.3,3.3,10.0
demo-283,USDJPY,BUY,Reversal,300.47,1712067180000,1712189580000,1.72,-0.31,2.14,1,175.0,1.1,2.3,8.0
demo-284,XAUUSD,SELL,CSV,-129.99,1712193000000,1712437800000,-0.88,-0.12,0.85,1,147.0,0.7,3.6,10.0
demo-285,NAS100,BUY,Breakout,63.61,1712439660000,1712518860000,0.53,-0.6,1.76,1,120.0,1.6,1.0,10.0
demo-286,EURUSD,BUY,Pullback,92.84,1712525400000,1712532600000,1.02,-0.19,2.24,1,91.0,1.4,3.7,10.0
demo-287,GBPUSD,SELL,Reversal,316.34,1712537220000,1712731620000,1.95,-0.35,2.0,1,162.0,0.8,3.0,10.0
demo-288,USDJPY,SELL,CSV,-182.15,1712735940000,1712761140000,-1.33,-0.96,0.24,1,137.0,1.8,3.3,8.0
demo-289,XAUUSD,SELL,Breakout,-26.39,1712764740000,1712908740000,-0.26,-0.24,0.85,1,102.0,1.6,1.7,10.0
demo-290,NAS100,BUY,Pullback,-227.32,1712914620000,1713087420000,-1.1,-0.75,0.85,1,206.0,0.8,3.8,10.0
demo-291,EURUSD,BUY,Reversal,396.6,1713097380000,1713111780000,1.82,-0.88,2.29,1,218.0,1.7,2.1,10.0
demo-292,GBPUSD,BUY,CSV,-67.58,1713116220000,1713260220000,-0.51,-0.52,0.22,1,132.0,1.6,1.3,10.0
demo-293,USDJPY,BUY,Breakout,-122.05,1713262680000,1713370680000,-0.66,-0.98,0.28,1,185.0,1.3,2.9,8.0
demo-294,XAUUSD,SELL,Pullback,-168.28,1713379560000,1713563160000,-0.73,-0.97,0.63,1,231.0,1.8,3.8,10.0
demo-295,NAS100,BUY,Reversal,122.17,1713565200000,1713748800000,0.76,-0.95,0.4,1,161.0,0.8,1.5,10.0
demo-296,EURUSD,SELL,CSV,179.77,1713754680000,1713970680000,0.98,-0.78,1.13,1,184.0,1.0,1.4,10.0
demo-297,GBPUSD,BUY,Breakout,424.21,1713976380000,1714051980000,1.81,-0.36,0.29,1,234.0,2.0,2.2,10.0
demo-298,USDJPY,BUY,Pullback,-64.42,1714057500000,1714082700000,-0.44,-0.95,0.85,1,146.0,0.7,1.3,8.0
demo-299,XAUUSD,SELL,Reversal,142.48,1714088160000,1714152960000,1.72,-0.26,0.54,1,83.0,1.1,2.9,10.0
demo-300,NAS100,SELL,CSV,407.63,1714155720000,1714195320000,1.77,-0.07,0.23,1,230.0,1.7,1.3,10.0
demo-301,EURUSD,SELL,Breakout,-27.51,1714205160000,1714359960000,-0.31,-0.93,0.85,1,90.0,1.3,2.1,10.0
demo-302,GBPUSD,BUY,Pullback,115.18,1714362720000,1714560720000,0.68,-0.32,2.13,1,170.0,1.5,2.9,10.0
demo-303,USDJPY,SELL,Reversal,-143.73,1714564260000,1714701060000,-0.78,-0.13,0.85,1,185.0,0.9,3.7,8.0
demo-304,XAUUSD,SELL,CSV,-293.1,1714709580000,1714954380000,-1.34,-0.79,0.85,1,219.0,1.1,2.7,10.0
demo-305,NAS100,SELL,Breakout,135.3,1714959060000,1715110260000,0.91,-0.26,2.16,1,149.0,0.7,4.0,10.0
demo-306,EURUSD,SELL,Pullback,-302.6,1715117100000,1715361900000,-1.32,-0.15,0.85,1,229.0,1.3,3.4,10.0
demo-307,GBPUSD,BUY,Reversal,-255.86,1715368260000,1715397060000,-1.13,-0.39,0.85,1,227.0,0.8,2.8,10.0
demo-308,USDJPY,BUY,CSV,-55.41,1715401320000,1715566920000,-0.64,-0.59,0.41,1,87.0,1.8,3.4,8.0
demo-309,XAUUSD,BUY,Breakout,66.21,1715576880000,1715807280000,0.42,-0.1,1.48,1,159.0,1.3,1.0,10.0
demo-310,NAS100,BUY,Pullback,-210.53,1715816460000,1715910060000,-1.26,-0.85,0.83,1,167.0,0.8,3.1,10.0
demo-311,EURUSD,SELL,Reversal,-279.62,1715912940000,1715981340000,-1.31,-0.4,0.85,1,214.0,1.4,2.0,10.0
demo-312,GBPUSD,SELL,CSV,-87.67,1715983920000,1716135120000,-0.73,-0.66,0.85,1,120.0,0.8,3.9,10.0
demo-313,USDJPY,BUY,Breakout,-153.23,1716138060000,1716303660000,-0.67,-0.75,0.76,1,230.0,1.6,3.8,8.0
demo-314,XAUUSD,BUY,Pullback,79.81,1716307980000,1716491580000,0.91,-0.82,1.5,1,88.0,1.9,1.4,10.0
demo-315,NAS100,SELL,Reversal,-73.03,1716501180000,1716537180000,-0.43,-0.89,0.29,1,168.0,1.2,1.8,10.0
demo-316,EURUSD,SELL,CSV,91.1,1716541680000,1716656880000,0.54,-0.05,0.98,1,169.0,2.0,3.7,10.0
demo-317,GBPUSD,BUY,Breakout,-61.11,1716658800000,1716889200000,-0.36,-0.51,0.85,1,169.0,0.8,1.2,10.0
demo-318,USDJPY,SELL,Pullback,171.31,1716895860000,1716913860000,2.02,-0.12,0.47,1,85.0,0.8,1.2,8.0
demo-319,XAUUSD,BUY,Reversal,-285.95,1716919260000,1716962460000,-1.23,-0.72,0.85,1,232.0,1.5,2.3,10.0
demo-320,NAS100,SELL,CSV,111.93,1716968520000,1716993720000,0.68,-0.71,1.76,1,164.0,1.5,1.9,10.0
demo-321,EURUSD,SELL,Breakout,-211.29,1716996120000,1717042920000,-1.17,-0.2,0.85,1,180.0,0.7,3.5,10.0
demo-322,GBPUSD,BUY,Pullback,67.49,1717044540000,1717267740000,0.65,-0.33,0.27,1,104.0,1.0,2.2,10.0
demo-323,USDJPY,BUY,Reversal,-69.66,1717271700000,1717498500000,-0.68,-0.4,0.85,1,103.0,1.2,1.8,8.0
demo-324,XAUUSD,BUY,CSV,-119.28,1717503420000,1717719420000,-0.87,-0.19,0.85,1,137.0,0.7,2.0,10.0
demo-325,NAS100,SELL,Breakout,105.05,1717724340000,1717976340000,0.46,-0.42,1.29,1,230.0,1.4,1.7,10.0
demo-326,EURUSD,BUY,Pullback,-187.47,1717983540000,1718123940000,-1.04,-0.53,0.85,1,181.0,0.8,3.3,10.0
demo-327,GBPUSD,SELL,Reversal,-52.1,1718126040000,1718208840000,-0.39,-0.45,0.85,1,134.0,0.9,3.5,10.0
demo-328,USDJPY,SELL,CSV,236.87,1718212260000,1718280660000,1.62,-0.82,0.28,1,146.0,1.4,3.6,8.0
demo-329,XAUUSD,SELL,Breakout,-77.64,1718290680000,1718531880000,-0.94,-0.55,0.85,1,83.0,0.8,2.7,10.0
demo-330,NAS100,SELL,Pullback,-249.61,1718539800000,1718586600000,-1.11,-0.87,0.85,1,224.0,1.0,3.0,10.0
demo-331,EURUSD,BUY,Reversal,74.62,1718589120000,1718808720000,0.6,-0.63,1.69,1,124.0,1.2,3.6,10.0
demo-332,GBPUSD,SELL,CSV,-248.58,1718810160000,1718921760000,-1.24,-0.07,0.85,1,201.0,1.0,3.5,10.0
demo-333,USDJPY,SELL,Breakout,188.27,1718923380000,1718970180000,1.65,-0.79,0.82,1,114.0,1.4,1.3,8.0
demo-334,XAUUSD,BUY,Pullback,-199.72,1718974560000,1719179760000,-1.09,-0.87,0.85,1,184.0,0.7,3.1,10.0
demo-335,NAS100,BUY,Reversal,-60.31,1719183900000,1719371100000,-0.28,-0.23,0.85,1,214.0,0.9,2.4,10.0
demo-336,EURUSD,BUY,CSV,174.36,1719374040000,1719543240000,1.16,-0.43,2.22,1,150.0,0.9,2.5,10.0
demo-337,GBPUSD,BUY,Breakout,-127.58,1719547140000,1719755940000,-0.63,-0.21,0.85,1,201.0,1.0,2.2,10.0
demo-338,USDJPY,SELL,Pullback,-128.92,1719759540000,1719835140000,-0.96,-0.69,0.7,1,134.0,1.3,3.6,8.0
demo-339,XAUUSD,SELL,Reversal,-102.97,1719844800000,1719852000000,-0.91,-0.06,0.67,1,113.0,1.6,3.1,10.0
demo-340,NAS100,SELL,CSV,-132.86,1719860160000,1719989760000,-0.75,-0.26,0.78,1,176.0,1.4,1.0,10.0
demo-341,EURUSD,SELL,Breakout,-134.17,1719997140000,1720169940000,-0.58,-0.15,0.23,1,232.0,1.5,3.6,10.0
demo-342,GBPUSD,SELL,Pullback,216.27,1720179420000,1720301820000,1.69,-0.9,1.95,1,128.0,1.5,3.0,10.0
demo-343,USDJPY,BUY,Reversal,167.79,1720307280000,1720321680000,1.08,-0.42,0.16,1,155.0,1.1,3.1,8.0
demo-344,XAUUSD,BUY,CSV,-198.8,1720330200000,1720578600000,-0.99,-0.53,0.85,1,201.0,1.0,2.4,10.0
demo-345,NAS100,BUY,Breakout,-156.18,1720589280000,1720711680000,-1.24,-0.67,0.6,1,126.0,1.6,1.9,10.0
demo-346,EURUSD,BUY,Pullback,-110.98,1720721160000,1720875960000,-0.76,-0.16,0.2,1,146.0,1.3,1.6,10.0
demo-347,GBPUSD,BUY,Reversal,95.59,1720882560000,1720940160000,0.44,-0.86,0.4,1,215.0,1.1,4.0,10.0
demo-348,USDJPY,BUY,CSV,-71.74,1720946880000,1721159280000,-0.45,-0.13,0.85,1,160.0,1.0,1.2,8.0
demo-349,XAUUSD,BUY,Breakout,-57.92,1721162340000,1721371140000,-0.44,-0.78,0.85,1,133.0,0.8,2.3,10.0
demo-350,NAS100,SELL,Pullback,-126.94,1721376240000,1721574240000,-0.67,-0.09,0.54,1,189.0,1.9,3.7,10.0
demo-351,EURUSD,SELL,Reversal,-78.91,1721581320000,1721826120000,-0.94,-0.29,0.85,1,84.0,1.0,1.3,10.0
demo-352,GBPUSD,SELL,CSV,283.09,1721829900000,1722063900000,1.79,-0.33,0.75,1,158.0,1.2,3.1,10.0
demo-353,USDJPY,SELL,Breakout,139.35,1722073800000,1722138600000,0.68,-0.95,2.21,1,205.0,0.6,1.7,8.0
demo-354,XAUUSD,BUY,Pullback,-37.05,1722144720000,1722205920000,-0.44,-0.4,0.85,1,85.0,1.1,2.9,10.0
demo-355,NAS100,BUY,Reversal,-27.85,1722210060000,1722458460000,-0.3,-0.15,0.85,1,92.0,1.6,2.3,10.0
demo-356,EURUSD,BUY,CSV,347.22,1722468900000,1722645300000,1.58,-0.25,1.67,1,220.0,1.0,3.0,10.0
demo-357,GBPUSD,BUY,Breakout,-95.81,1722648060000,1722889260000,-0.4,-0.84,0.32,1,239.0,1.0,3.4,10.0
demo-358,USDJPY,SELL,Pullback,190.41,1722894300000,1723124700000,0.81,-0.55,0.55,1,235.0,1.0,1.1,8.0
demo-359,XAUUSD,SELL,Reversal,72.02,1723128600000,1723359000000,0.35,-0.69,2.18,1,203.0,0.8,1.3,10.0
demo-360,NAS100,SELL,CSV,-100.67,1723363080000,1723600680000,-0.96,-0.48,0.85,1,105.0,1.2,1.3,10.0
demo-361,EURUSD,BUY,Breakout,236.29,1723602720000,1723685520000,1.53,-0.45,0.35,1,154.0,0.6,1.4,10.0
demo-362,GBPUSD,SELL,Pullback,-222.4,1723687020000,1723766220000,-1.3,-0.3,0.85,1,171.0,1.7,1.5,10.0
demo-363,USDJPY,BUY,Reversal,200.9,1723772160000,1723959360000,1.03,-0.86,1.94,1,196.0,0.8,3.1,8.0
demo-364,XAUUSD,BUY,CSV,146.68,1723966380000,1723995180000,1.38,-0.81,1.65,1,106.0,1.5,3.3,10.0
demo-365,NAS100,SELL,Breakout,-75.97,1723998480000,1724012880000,-0.37,-0.44,0.19,1,203.0,1.5,1.0,10.0
demo-366,EURUSD,BUY,Pullback,453.06,1724015760000,1724260560000,2.02,-0.88,1.28,1,224.0,1.2,3.2,10.0
demo-367,GBPUSD,BUY,Reversal,319.74,1724270280000,1724493480000,1.8,-0.9,1.5,1,178.0,1.5,1.5,10.0
demo-368,USDJPY,BUY,CSV,147.67,1724499660000,1724719260000,1.21,-0.28,2.33,1,122.0,1.3,2.7,8.0
demo-369,XAUUSD,SELL,Breakout,157.83,1724727720000,1724904120000,1.13,-0.59,0.28,1,140.0,1.2,1.4,10.0
demo-370,NAS100,SELL,Pullback,43.75,1724911200000,1725141600000,0.41,-0.57,2.0,1,106.0,1.8,2.7,10.0
demo-371,EURUSD,SELL,Reversal,-198.65,1725142740000,1725355140000,-1.15,-0.85,0.85,1,173.0,1.6,2.1,10.0
demo-372,GBPUSD,SELL,CSV,-51.37,1725361260000,1725570060000,-0.49,-0.37,0.85,1,104.0,1.4,2.1,10.0
demo-373,USDJPY,SELL,Breakout,218.16,1725572700000,1725623100000,1.79,-0.76,1.03,1,122.0,1.5,1.6,8.0
demo-374,XAUUSD,BUY,Pullback,-90.55,1725624660000,1725808260000,-0.46,-0.37,0.85,1,197.0,1.9,3.5,10.0
demo-375,NAS100,BUY,Reversal,-256.46,1725812460000,1725870060000,-1.3,-0.18,0.85,1,197.0,1.4,2.3,10.0
demo-376,EURUSD,SELL,CSV,-55.13,1725877860000,1726101060000,-0.44,-0.82,0.32,1,125.0,1.3,2.2,10.0
demo-377,GBPUSD,SELL,Breakout,-238.47,1726109760000,1726224960000,-1.32,-0.48,0.39,1,181.0,1.4,3.7,10.0
demo-378,USDJPY,BUY,Pullback,-227.27,1726230060000,1726467660000,-1.03,-0.94,0.85,1,220.0,0.9,3.1,8.0
demo-379,XAUUSD,SELL,Reversal,195.63,1726473120000,1726635120000,1.57,-0.36,0.35,1,125.0,1.4,2.7,10.0
demo-380,NAS100,SELL,CSV,-109.34,1726638000000,1726832400000,-0.71,-0.06,0.33,1,153.0,0.8,3.0,10.0
demo-381,EURUSD,SELL,Breakout,-121.21,1726841460000,1726935060000,-1.0,-0.19,0.22,1,121.0,0.9,2.6,10.0
demo-382,GBPUSD,SELL,Pullback,-105.27,1726940040000,1727105640000,-0.99,-0.58,0.6,1,106.0,0.9,3.4,10.0
demo-383,USDJPY,BUY,Reversal,358.29,1727113440000,1727246640000,2.02,-0.98,0.81,1,177.0,0.6,1.8,8.0
demo-384,XAUUSD,BUY,CSV,-148.12,1727248260000,1727453460000,-0.85,-0.62,0.85,1,174.0,1.0,1.5,10.0
demo-385,NAS100,SELL,Breakout,-47.28,1727457780000,1727493780000,-0.38,-0.09,0.73,1,124.0,0.8,2.8,10.0
demo-386,EURUSD,BUY,Pullback,326.46,1727497500000,1727616300000,1.99,-0.09,2.23,1,164.0,1.7,2.9,10.0
demo-387,GBPUSD,BUY,Reversal,-74.62,1727617260000,1727757660000,-0.33,-0.72,0.85,1,226.0,1.3,3.4,10.0
demo-388,USDJPY,SELL,CSV,-76.9,1727766060000,1727841660000,-0.35,-0.26,0.57,1,219.0,1.1,1.9,8.0
demo-389,XAUUSD,SELL,Breakout,-296.42,1727848920000,1728093720000,-1.33,-0.06,0.85,1,223.0,0.9,2.9,10.0
demo-390,NAS100,SELL,Pullback,282.42,1728101880000,1728217080000,1.74,-0.16,0.68,1,162.0,0.6,2.6,10.0
demo-391,EURUSD,BUY,Reversal,89.62,1728218580000,1728391380000,0.43,-0.9,0.53,1,210.0,1.9,1.5,10.0
demo-392,GBPUSD,SELL,CSV,-39.03,1728400140000,1728648540000,-0.48,-0.65,0.57,1,81.0,1.8,1.6,10.0
demo-393,USDJPY,BUY,Breakout,-41.07,1728657600000,1728859200000,-0.42,-0.49,0.85,1,98.0,0.7,1.5,8.0
demo-394,XAUUSD,SELL,Pullback,-49.04,1728870000000,1728988800000,-0.5,-0.3,0.85,1,98.0,1.2,1.1,10.0
demo-395,NAS100,BUY,Reversal,-75.34,1728998220000,1729055820000,-0.93,-0.77,0.85,1,81.0,1.1,2.5,10.0
demo-396,EURUSD,BUY,CSV,396.97,1729064880000,1729201680000,1.69,-0.47,1.0,1,235.0,1.3,2.6,10.0
demo-397,GBPUSD,SELL,Breakout,319.65,1729207200000,1729272000000,1.46,-0.33,2.14,1,219.0,1.9,1.0,10.0
demo-398,USDJPY,BUY,Pullback,150.1,1729278900000,1729538100000,1.35,-0.42,1.35,1,111.0,1.0,3.2,8.0
demo-399,XAUUSD,SELL,Reversal,-219.52,1729541160000,1729703160000,-1.19,-0.19,0.51,1,185.0,0.9,1.5,10.0
demo-400,NAS100,BUY,CSV,-65.43,1729707300000,1729732500000,-0.33,-0.69,0.66,1,198.0,1.6,2.5,10.0
demo-401,EURUSD,BUY,Breakout,-56.89,1729741800000,1729896600000,-0.51,-0.32,0.24,1,112.0,1.0,2.4,10.0
demo-402,GBPUSD,BUY,Pullback,-77.46,1729902960000,1730046960000,-0.65,-0.35,0.85,1,119.0,1.0,3.4,10.0
demo-403,USDJPY,SELL,Reversal,280.82,1730056800000,1730258400000,1.63,-0.88,1.15,1,172.0,1.7,2.5,8.0
demo-404,XAUUSD,BUY,CSV,197.65,1730263500000,1730313900000,0.84,-0.84,2.15,1,235.0,1.0,3.7,10.0
demo-405,NAS100,BUY,Breakout,-79.36,1730317440000,1730353440000,-0.94,-0.82,0.85,1,84.0,1.9,2.7,10.0
demo-406,EURUSD,SELL,Pullback,-82.7,1730355480000,1730607480000,-0.41,-0.42,0.85,1,200.0,0.8,2.5,10.0
demo-407,GBPUSD,BUY,Reversal,261.18,1730616660000,1730659860000,1.51,-0.86,1.95,1,173.0,1.7,1.4,10.0
